Date/Time,Word Count,en,es,pt,sv-SE
2025.11.22-00.13.46,62,62,0,0,0
2026.02.20-03.40.07,134,134,0,0,0
2026.02.20-03.49.45,130,130,0,0,0
2026.02.20-03.58.29,130,130,130,0,0
2026.02.20-04.06.15,130,130,130,0,130
2026.02.20-04.27.12,134,134,130,0,130
2026.02.20-04.28.46,134,134,134,0,134
2026.02.20-04.31.12,136,136,134,0,134
2026.02.20-04.31.58,136,136,136,0,136
2026.03.04-02.45.49,209,209,136,0,136
2026.03.04-03.30.48,209,209,136,168,136
2026.03.04-10.54.53,209,209,136,209,0
2026.03.04-10.58.36,209,209,209,209,0
